	observed_species	shannon	singles
Ga0101941	31.0	4.80291533939	23.0
Ga0073929	28.0	4.6821621493	21.0
JGI24661J20069	14.0	3.64643934467	10.0
JGI11976J15747	5.0	2.25162916739	4.0
JGI24115J20150	23.0	4.48385618977	21.0
LBLACPB1	20.0	4.32192809489	20.0
Ga0066402	19.0	4.06610893984	13.0
Ga0063233	28.0	4.6818808028	20.0
JGI24113J20146	9.0	2.91829583405	8.0
Ga0066409	16.0	3.84535093662	12.0
Ga0005512	6.0	2.58496250072	6.0
Ga0079104	27.0	3.87262134444	20.0
Ga0073920	38.0	5.22192809489	36.0
JGI24123J20310	16.0	3.89240711859	14.0
Ga0073921	17.0	4.03740119765	15.0
Ga0007748	14.0	3.64643934467	10.0
Ga0066410	23.0	4.29424601323	18.0
